course_code,prefix,number,level,title_or_context,source_page,linked_file_or_page,raw_text
BME 5000,BME,5000,graduate,Introduction to Bioengineering,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,,BME 5000 Introduction to Bioengineering
BME 5000,BME,5000,graduate,Introduction to Bioengineering,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/pdf/bme5000intro-bioeng.pdf,BME 5000 Introduction to Bioengineering
BME 5742,BME,5742,graduate,Bio-systems Modeling and Control,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,,BME 5742 Bio-systems Modeling and Control
BME 5742,BME,5742,graduate,Bio-systems Modeling and Control,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/pdf/bme5742bio-systems-modeling-control.pdf,BME 5742 Bio-systems Modeling and Control
BME 6324,BME,6324,graduate,Stem Cell Engineering,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,,BME 6324 Stem Cell Engineering
BME 6324,BME,6324,graduate,Stem Cell Engineering,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/pdf/bme6324stem-cell-eng.pdf,BME 6324 Stem Cell Engineering
BME 6334,BME,6334,graduate,Tissue Engineering,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,,BME 6334 Tissue Engineering
BME 6334,BME,6334,graduate,Tissue Engineering,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/pdf/bme6334tissue-eng.pdf,BME 6334 Tissue Engineering
BME 6762,BME,6762,graduate,Bioinformatics: Bioengineering Perspectives,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,,BME 6762 Bioinformatics: Bioengineering Perspectives
BME 6762,BME,6762,graduate,Bioinformatics: Bioengineering Perspectives,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/,https://www.fau.edu/engineering/eecs/graduate/syllabi-ee/pdf/bme6762bioinformatics-bioeng-perspectives.pdf,BME 6762 Bioinformatics: Bioengineering Perspectives
CAP 5615,CAP,5615,graduate,Intro to Neural Networks,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,Instructor for CAP 5615 Intro to Neural Networks
CAP 5615,CAP,5615,graduate,Introduction to Neural Networks,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,CAP 5615 Introduction to Neural Networks
CAP 5615,CAP,5615,graduate,Introduction to Neural Networks,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap5615intro-neural-networks.pdf,CAP 5615 Introduction to Neural Networks
CAP 5625,CAP,5625,graduate,,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-ai/,,CAP 5625
CAP 5625,CAP,5625,graduate,Computational Foundations of AI,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,Instructor for CAP 5625: Computational Foundations of AI
CAP 5625,CAP,5625,graduate,Computational Foundations of Artificial Intelligence,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,CAP 5625 Computational Foundations of Artificial Intelligence
CAP 5625,CAP,5625,graduate,Computational Foundations of Artificial Intelligence,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap5625computational-foundations-of-artificial-intelligence.pdf,CAP 5625 Computational Foundations of Artificial Intelligence
CAP 5768,CAP,5768,graduate,,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-itm/,,CAP 5768
CAP 5768,CAP,5768,graduate,,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-ai/,,CAP 5768
CAP 5768,CAP,5768,graduate,,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-big-data-analytics,,CAP 5768
CAP 5768,CAP,5768,graduate,,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-certificate-big-data-analytics/,,CAP 5768
CAP 5768,CAP,5768,graduate,Introduction to Data Science,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,CAP 5768 Introduction to Data Science
CAP 5768,CAP,5768,graduate,Introduction to Data Science,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/pdf/cap5768introduction-to-data-science.pdf,CAP 5768 Introduction to Data Science
CAP 5768,CAP,5768,graduate,Introduction to Data Science,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,Instructor for CAP 5768: Introduction to Data Science
CAP 5768,CAP,5768,graduate,Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/,,DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval
