resource_type,link_text,url,source_page,note
form_or_application,Visitor Information,https://www.fau.edu/engineering/visitor-info/,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
other_relevant_resource,eLearning Undergraduate/Graduate Courses,https://www.fau.edu/online/online-programs/college-of-engineering-and-computer-science/,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
certificate_or_minor,Graduate Degree & Certificate Programs,https://www.fau.edu/engineering/graduate/,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,Graduate Forms,https://www.fau.edu/engineering/graduate/forms/,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,https://forms.cloud.microsoft/r/NhxCaN5v0Q,https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fforms.cloud.microsoft%2Fr%2FNhxCaN5v0Q&data=05%7C02%7Cspuchagatla2024%40fau.edu%7Cf8de992fe61c4d1dd5b108ddaa2ce9ee%7C63c3c9c1e824413fb4352f0cabb2828f%7C0%7C0%7C638853832091790616%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=lX5sv4AjiPNFWuesqZypPq7W4HSwSkKuVh6cniKzTS8%3D&reserved=0,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,https://forms.cloud.microsoft/r/ff3g9BsMeR,https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fforms.cloud.microsoft%2Fr%2Fff3g9BsMeR&data=05%7C02%7Cspuchagatla2024%40fau.edu%7Cf8de992fe61c4d1dd5b108ddaa2ce9ee%7C63c3c9c1e824413fb4352f0cabb2828f%7C0%7C0%7C638853832091804266%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=ea%2FdZHtaombdsaptOIRbkbDaDB4NDFDUDdbDmgxPOv8%3D&reserved=0,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,https://forms.office.com/r/FWiVX5vdep,https://forms.office.com/r/FWiVX5vdep,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,https://forms.cloud.microsoft/r/rZzRzbrsdS,https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fforms.cloud.microsoft%2Fr%2FrZzRzbrsdS&data=05%7C02%7Cspuchagatla2024%40fau.edu%7Cf8de992fe61c4d1dd5b108ddaa2ce9ee%7C63c3c9c1e824413fb4352f0cabb2828f%7C0%7C0%7C638853832091817178%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=a9ynpJipzhbBdyVeb7CnALaTAgRih4v4J1ZdWaAZFp0%3D&reserved=0,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,https://forms.cloud.microsoft/r/QgJYJbJSei,https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fforms.cloud.microsoft%2Fr%2FQgJYJbJSei&data=05%7C02%7Cspuchagatla2024%40fau.edu%7Cf8de992fe61c4d1dd5b108ddaa2ce9ee%7C63c3c9c1e824413fb4352f0cabb2828f%7C0%7C0%7C638853832091830128%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=GM3TZmjpLtA3wd3kIlwrA5serSW1%2B3MYs%2FquiBDj6eg%3D&reserved=0,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,https://tinyurl.com/eecsforms,https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Ftinyurl.com%2Feecsforms&data=05%7C02%7Cspuchagatla2024%40fau.edu%7Cf8de992fe61c4d1dd5b108ddaa2ce9ee%7C63c3c9c1e824413fb4352f0cabb2828f%7C0%7C0%7C638853832091856004%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=BRZP3m3RQwg%2FU3eqGIbjx6fawC0ujrowwMNNr17p4QI%3D&reserved=0,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,Consumer Information,https://www.fau.edu/finaid/resources/other-resources/,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,©,https://a.cms.omniupdate.com/11/?skin=fau&account=chordata&site=Primary&action=de&path=/engineering/eecs/student/forms/index.pcf,https://www.fau.edu/engineering/eecs/student/forms/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,Visitor Information,https://www.fau.edu/engineering/visitor-info/,https://www.fau.edu/engineering/eecs/student/syllabi/,External or non-EECS web form/resource. Saved as link instead of downloaded.
other_relevant_resource,eLearning Undergraduate/Graduate Courses,https://www.fau.edu/online/online-programs/college-of-engineering-and-computer-science/,https://www.fau.edu/engineering/eecs/student/syllabi/,External or non-EECS web form/resource. Saved as link instead of downloaded.
certificate_or_minor,Graduate Degree & Certificate Programs,https://www.fau.edu/engineering/graduate/,https://www.fau.edu/engineering/eecs/student/syllabi/,External or non-EECS web form/resource. Saved as link instead of downloaded.
form_or_application,Graduate Forms,https://www.fau.edu/engineering/graduate/forms/,https://www.fau.edu/engineering/eecs/student/syllabi/,External or non-EECS web form/resource. Saved as link instead of downloaded.
