source_type,source_path,filename,extension,assigned_majors,word_count,preview_top_words
file,DepCourseInfo\course_listings.csv,course_listings.csv,.csv,Computer Science; Computer Engineering; Electrical Engineering; Data Science and Analytics; Cybersecurity; Artificial Intelligence,6411,systems; introduction; data; computer; design; software; programming; theory
file,DepCourseInfo\crawl_log.csv,crawl_log.csv,.csv,Unclassified EECS,754,text; charset; utf; error; client; url
file,DepCourseInfo\downloaded_resources_index.csv,downloaded_resources_index.csv,.csv,Computer Science; Computer Engineering; Electrical Engineering; Data Science and Analytics; Cybersecurity; Artificial Intelligence,4297,depcourseinfo; downloaded; syllabus; systems; computer; data; phd; design
file,DepCourseInfo\external_forms_and_links.csv,external_forms_and_links.csv,.csv,Computer Science; Data Science and Analytics; Cybersecurity,14206,resource; non; external; web; saved; link; instead; downloaded
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 1,.csv-row,Unclassified EECS,10,introduction; bioengineering
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 2,.csv-row,Unclassified EECS,10,introduction; bioengineering
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 3,.csv-row,Electrical Engineering,12,bio; systems; modeling; control
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 4,.csv-row,Electrical Engineering,12,bio; systems; modeling; control
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 5,.csv-row,Unclassified EECS,10,stem; cell
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 6,.csv-row,Unclassified EECS,10,stem; cell
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 7,.csv-row,Unclassified EECS,8,tissue
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 8,.csv-row,Unclassified EECS,8,tissue
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 9,.csv-row,Unclassified EECS,10,bioinformatics; bioengineering; perspectives
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 10,.csv-row,Unclassified EECS,10,bioinformatics; bioengineering; perspectives
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 11,.csv-row,Computer Science; Artificial Intelligence,14,intro; neural; networks; instructor
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 12,.csv-row,Computer Science; Artificial Intelligence,12,introduction; neural; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 13,.csv-row,Computer Science; Artificial Intelligence,12,introduction; neural; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 14,.csv-row,Computer Science,4,
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 15,.csv-row,Computer Science; Artificial Intelligence,14,computational; foundations; instructor
