doc_id,parent_doc_id,chunk_index,chunk_count,chunk_text,text,document_type,title,course_code,prefix,number,level,source_page,linked_file_or_page,file_name
course_0001_CAP_5615::chunk_001,course_0001_CAP_5615,1,1,Instructor for CAP 5615 Intro to Neural Networks,"Document_Type = course_listing, Title = Intro to Neural Networks, Course_Code = CAP 5615, Prefix = CAP, Number = 5615, Level = graduate, Parent_Doc_ID = course_0001_CAP_5615, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Instructor for CAP 5615 Intro to Neural Networks",course_listing,Intro to Neural Networks,CAP 5615,CAP,5615,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0002_CAP_5615::chunk_001,course_0002_CAP_5615,1,1,CAP 5615 Introduction to Neural Networks,"Document_Type = course_listing, Title = Introduction to Neural Networks, Course_Code = CAP 5615, Prefix = CAP, Number = 5615, Level = graduate, Parent_Doc_ID = course_0002_CAP_5615, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 5615 Introduction to Neural Networks",course_listing,Introduction to Neural Networks,CAP 5615,CAP,5615,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0003_CAP_5625::chunk_001,course_0003_CAP_5625,1,1,CAP 5625,"Document_Type = course_listing, Title = , Course_Code = CAP 5625, Prefix = CAP, Number = 5625, Level = graduate, Parent_Doc_ID = course_0003_CAP_5625, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-ai/, Linked_File_or_Page = , File_Name = , Content = CAP 5625",course_listing,,CAP 5625,CAP,5625,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-ai/,,
course_0004_CAP_5625::chunk_001,course_0004_CAP_5625,1,1,Instructor for CAP 5625: Computational Foundations of AI,"Document_Type = course_listing, Title = Computational Foundations of AI, Course_Code = CAP 5625, Prefix = CAP, Number = 5625, Level = graduate, Parent_Doc_ID = course_0004_CAP_5625, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators, Linked_File_or_Page = , File_Name = , Content = Instructor for CAP 5625: Computational Foundations of AI",course_listing,Computational Foundations of AI,CAP 5625,CAP,5625,graduate,https://www.fau.edu/engineering/eecs/research/nrt/faculty/collaborators,,
course_0005_CAP_5625::chunk_001,course_0005_CAP_5625,1,1,CAP 5625 Computational Foundations of Artificial Intelligence,"Document_Type = course_listing, Title = Computational Foundations of Artificial Intelligence, Course_Code = CAP 5625, Prefix = CAP, Number = 5625, Level = graduate, Parent_Doc_ID = course_0005_CAP_5625, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 5625 Computational Foundations of Artificial Intelligence",course_listing,Computational Foundations of Artificial Intelligence,CAP 5625,CAP,5625,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0006_CAP_5768::chunk_001,course_0006_CAP_5768,1,1,CAP 5768,"Document_Type = course_listing, Title = , Course_Code = CAP 5768, Prefix = CAP, Number = 5768, Level = graduate, Parent_Doc_ID = course_0006_CAP_5768, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-itm/, Linked_File_or_Page = , File_Name = , Content = CAP 5768",course_listing,,CAP 5768,CAP,5768,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-ms-itm/,,
course_0007_CAP_5768::chunk_001,course_0007_CAP_5768,1,1,CAP 5768 Introduction to Data Science,"Document_Type = course_listing, Title = Introduction to Data Science, Course_Code = CAP 5768, Prefix = CAP, Number = 5768, Level = graduate, Parent_Doc_ID = course_0007_CAP_5768, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 5768 Introduction to Data Science",course_listing,Introduction to Data Science,CAP 5768,CAP,5768,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0008_CAP_5768::chunk_001,course_0008_CAP_5768,1,1,DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval,"Document_Type = course_listing, Title = Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval, Course_Code = CAP 5768, Prefix = CAP, Number = 5768, Level = graduate, Parent_Doc_ID = course_0008_CAP_5768, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/, Linked_File_or_Page = , File_Name = , Content = DSA courses include: CAP 6673 Data Mining and Machine Learning CAP 5768 Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval",course_listing,Introduction to Data Science CAP 6619 Deep Learning CAP 6635 Artificial Intelligence CAP 6776 Information Retrieval,CAP 5768,CAP,5768,graduate,https://www.fau.edu/engineering/eecs/graduate/professional-programs/professional-phd/degree-req/,,
course_0009_CAP_6010::chunk_001,course_0009_CAP_6010,1,1,CAP 6010 Multimedia Systems,"Document_Type = course_listing, Title = Multimedia Systems, Course_Code = CAP 6010, Prefix = CAP, Number = 6010, Level = graduate, Parent_Doc_ID = course_0009_CAP_6010, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6010 Multimedia Systems",course_listing,Multimedia Systems,CAP 6010,CAP,6010,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
course_0010_CAP_6018::chunk_001,course_0010_CAP_6018,1,1,CAP 6018 Multimedia Programming,"Document_Type = course_listing, Title = Multimedia Programming, Course_Code = CAP 6018, Prefix = CAP, Number = 6018, Level = graduate, Parent_Doc_ID = course_0010_CAP_6018, Chunk_Index = 1 of 1, Source_Page = https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/, Linked_File_or_Page = , File_Name = , Content = CAP 6018 Multimedia Programming",course_listing,Multimedia Programming,CAP 6018,CAP,6018,graduate,https://www.fau.edu/engineering/eecs/graduate/syllabi-ce-cs/,,
