query_id,ndcg,ap,first_relevant_rank,relevant_retrieved,total_relevant
q01,0.7655416111509016,0.5413058569532538,1,12,12
q02,0.8484610153167459,0.6607352852033703,1,9,9
q03,0.6365379195444073,0.415,2,4,4
q04,0.0,0.007352941176470588,68,1,2
q05,0.20053839363918255,0.05788054538054538,10,5,6
q06,0.23254066856600364,0.0825874254445683,7,5,7
q07,0.4051453145630176,0.22257791918118006,7,12,12
q08,0.48815562035824694,0.31973687112018306,5,19,19
q09,0.5968809945242675,0.49302278812809597,2,22,22
q10,0.6527152001912437,0.4822555290289844,3,18,19
q11,0.749467771007494,0.7256156763592501,1,23,23
q12,0.34076635699970675,0.15023365476458783,4,7,8
q13,0.7867859196821868,0.6716711011354343,1,26,27
q14,0.2121039643592203,0.08681142170857377,4,11,12
