method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf_plus_rerank,700,100,100,1.8,0.9,150,0.5,2.0,30,BAAI/bge-reranker-base,30,0.48051244218508943,0.32509812878231015,0.40280528548369976,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.5,2.0,30,BAAI/bge-reranker-base,30,0.4779178350908998,0.3249714378387138,0.40144463646480677,582,182
rrf_plus_rerank,700,150,200,2.6,0.9,150,0.25,1.5,30,BAAI/bge-reranker-base,30,0.47231766965665045,0.328461247424488,0.40038945854056923,586,182
rrf_plus_rerank,700,150,200,2.6,0.9,150,0.5,3.0,30,BAAI/bge-reranker-base,30,0.47231766965665045,0.328461247424488,0.40038945854056923,586,182
rrf_plus_rerank,700,150,200,2.2,1.0,150,0.25,2.0,30,BAAI/bge-reranker-base,30,0.47227390352156007,0.32808076753471155,0.40017733552813584,586,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.5,2.0,30,BAAI/bge-reranker-base,30,0.47657027633605836,0.32376470494647375,0.40016749064126605,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.5,2.0,30,BAAI/bge-reranker-base,30,0.4763154385437338,0.3235045172488508,0.39990997789629235,582,182
rrf_plus_rerank,700,150,200,1.8,0.9,150,0.25,1.5,30,BAAI/bge-reranker-base,30,0.47115279220071643,0.32790534051675424,0.3995290663587353,586,182
rrf_plus_rerank,700,150,200,1.8,0.9,150,0.5,3.0,30,BAAI/bge-reranker-base,30,0.47115279220071643,0.32790534051675424,0.3995290663587353,586,182
rrf_plus_rerank,700,100,150,2.2,1.0,90,0.25,2.0,30,BAAI/bge-reranker-base,30,0.4720429639823287,0.32675667610245773,0.3993998200423932,582,182
rrf_plus_rerank,700,100,150,2.6,1.0,120,0.25,2.5,30,BAAI/bge-reranker-base,30,0.4720622058878258,0.3265927079985808,0.3993274569432033,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,120,0.25,2.5,30,BAAI/bge-reranker-base,30,0.4720622058878258,0.3265816554285733,0.39932193065819954,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,150,0.25,3.0,30,BAAI/bge-reranker-base,30,0.4720622058878258,0.32653227105334653,0.3992972384705862,582,182
