method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf,700,100,100,2.2,1.0,150,0.5,2.0,0,,30,0.4939743392787589,0.3511990725417498,0.4225867059102544,582,182
rrf,700,100,100,2.2,1.0,150,0.25,2.5,0,,30,0.4929542027961792,0.35197747586388,0.42246583933002957,582,182
rrf,700,100,100,1.8,1.0,150,0.25,3.0,0,,30,0.4928568241193457,0.35206444385085334,0.42246063398509953,582,182
rrf,700,100,100,2.2,1.0,150,0.25,3.0,0,,30,0.49301616033750645,0.35185578415356566,0.4224359722455361,582,182
rrf,700,100,100,1.8,1.0,150,0.25,2.5,0,,30,0.49278403570452906,0.3519939972558642,0.42238901648019667,582,182
rrf,700,100,100,2.2,1.0,90,0.25,2.0,0,,30,0.49284894066896356,0.35176840763121187,0.4223086741500877,582,182
rrf,700,100,100,2.2,1.0,120,0.25,2.5,0,,30,0.49285567151305637,0.35163707409464046,0.4222463728038484,582,182
rrf,700,100,100,2.2,1.0,150,0.25,2.0,0,,30,0.4915825144601801,0.3526678305544917,0.4221251725073359,582,182
rrf,700,100,100,1.8,1.0,120,0.25,2.5,0,,30,0.4926484228510291,0.35157474989439275,0.42211158637271096,582,182
rrf,700,100,100,1.8,0.9,150,0.5,2.0,0,,30,0.49424484100649485,0.3495395645442355,0.4218922027753652,582,182
rrf,700,150,150,2.2,1.0,150,0.25,2.0,0,,30,0.49158144087907646,0.35219381152505486,0.42188762620206566,586,182
rrf,700,150,200,2.2,1.0,150,0.25,2.0,0,,30,0.49139335342464385,0.3522436426606763,0.4218184980426601,586,182
rrf,700,100,100,2.2,1.0,120,0.5,2.5,0,,30,0.491487639276645,0.35211590916927105,0.42180177422295806,582,182
rrf,700,100,150,2.2,1.0,150,0.25,2.5,0,,30,0.49193139762130533,0.35166981155245913,0.42180060458688223,582,182
rrf,700,100,100,2.2,1.0,120,0.25,2.0,0,,30,0.49151306897214136,0.3520769512901799,0.4217950101311606,582,182
rrf,700,100,150,2.2,1.0,150,0.25,3.0,0,,30,0.49201468159901207,0.3515226680673407,0.42176867483317637,582,182
rrf,700,100,100,2.6,1.0,150,0.25,2.5,0,,30,0.49270013458396517,0.3507764827116969,0.421738308647831,582,182
rrf,700,100,100,1.8,0.9,90,0.25,1.5,0,,30,0.4927162244444258,0.350750241874059,0.4217332331592424,582,182
rrf,700,100,100,1.8,0.9,90,0.5,3.0,0,,30,0.4927162244444258,0.350750241874059,0.4217332331592424,582,182
rrf,700,100,150,2.2,1.0,90,0.25,2.0,0,,30,0.49190735211996467,0.35155741842446353,0.4217323852722141,582,182
rrf,700,100,100,2.6,1.0,150,0.5,2.0,0,,30,0.493338301678738,0.35010309987450483,0.4217207007766214,582,182
rrf,700,100,100,2.6,1.0,120,0.25,2.5,0,,30,0.4926808180565159,0.35075434285354384,0.4217175804550299,582,182
rrf,700,100,100,1.8,1.0,150,0.5,2.0,0,,30,0.4924384721087539,0.3509919571939108,0.4217152146513323,582,182
rrf,700,100,100,2.6,1.0,150,0.25,3.0,0,,30,0.4926185461526802,0.35064736287022813,0.42163295451145416,582,182
rrf,700,100,100,2.2,1.0,90,0.25,2.5,0,,30,0.49245969885084856,0.3508053755167781,0.4216325371838133,582,182
rrf,700,100,100,2.2,1.0,150,0.5,2.5,0,,30,0.4907491762795257,0.35244526758863104,0.42159722193407834,582,182
rrf,700,150,100,2.2,1.0,120,0.25,2.0,0,,30,0.4928234387242844,0.3503685838051812,0.4215960112647328,586,182
rrf,700,100,150,2.2,1.0,120,0.25,2.5,0,,30,0.4918281659665042,0.3513353614690097,0.4215817637177569,582,182
rrf,700,100,100,1.8,0.9,150,0.25,2.0,0,,30,0.4926584978619733,0.3504890664210061,0.42157378214148966,582,182
