top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,ndcg_k,ndcg,map,combined_score
100,2.2,0.9,90,0.5,1.5,30,0.47359725423311877,0.34355083043923695,0.4085740423361779
100,1.8,0.75,90,0.5,1.5,30,0.4746229076021614,0.34247649686135484,0.4085497022317581
100,1.5,0.75,90,0.5,1.5,30,0.4742420138664826,0.34233264426906024,0.40828732906777143
100,2.2,0.9,60,0.5,1.5,30,0.4719891860669585,0.34436734977167704,0.40817826791931777
100,2.2,0.9,10,0.5,1.5,30,0.4736301383107445,0.3424845486345576,0.40805734347265105
100,2.2,0.9,30,0.5,1.5,30,0.47182338408821833,0.3438282261831305,0.40782580513567446
100,1.8,0.75,60,0.5,1.5,30,0.4725559519878238,0.342728716672921,0.4076423343303724
100,1.8,0.9,10,0.5,1.5,30,0.4733262422403229,0.3418205736171166,0.40757340792871977
100,1.8,0.9,60,0.5,1.5,30,0.47110049708456364,0.3437292231302273,0.40741486010739547
100,1.5,0.75,10,0.5,1.5,30,0.47314776191981106,0.3416350583337014,0.4073914101267562
100,1.8,0.9,90,0.5,1.5,30,0.4698947866791167,0.3440180667645443,0.4069564267218305
100,1.8,0.75,10,0.5,1.5,30,0.4727856984087205,0.3406662507383826,0.40672597457355153
100,1.5,0.75,60,0.5,1.5,30,0.47156776532850003,0.34182522253672804,0.40669649393261403
100,2.2,0.75,60,0.5,1.5,30,0.4719884991701858,0.3413524023924826,0.40667045078133424
100,1.8,0.9,30,0.5,1.5,30,0.47014527750396623,0.3411182242696777,0.40563175088682196
100,2.2,0.75,90,0.5,1.5,30,0.46991730538925175,0.34103363725394154,0.40547547132159667
100,1.2,0.9,90,0.5,1.5,30,0.46954641474825193,0.3410003863754942,0.40527340056187305
100,2.2,0.75,10,0.5,1.5,30,0.4704094922033871,0.33986926894129244,0.4051393805723398
100,1.8,0.75,30,0.5,1.5,30,0.469273725963763,0.3405077005944241,0.40489071327909354
100,2.2,0.75,30,0.5,1.5,30,0.4690614628160659,0.34002754935583596,0.40454450608595094
100,2.2,0.55,60,0.5,1.5,30,0.47159997341588505,0.3369971326682214,0.4042985530420532
100,1.8,0.55,60,0.5,1.5,30,0.47241713265719215,0.33600424002102197,0.40421068633910706
100,2.2,0.55,90,0.5,1.5,30,0.47139241279768707,0.3369337347364866,0.4041630737670868
100,1.5,0.75,30,0.5,1.5,30,0.4673398852809701,0.34087274833372044,0.40410631680734527
100,1.2,0.9,60,0.5,1.5,30,0.46684505978807556,0.3406735117061918,0.4037592857471337
100,1.8,0.55,10,0.5,1.5,30,0.4683548724838538,0.3386007747616104,0.4034778236227321
100,1.8,0.55,90,0.5,1.5,30,0.4717956337668,0.3349252877279967,0.40336046074739834
