query_id,doc_id,rank,score
q01,pdf_0513_professional-ai-certificate-program-application::chunk_001,1,56.2046
q01,pdf_0514_professional-certificate-ai-worksheet::chunk_001,2,54.9055
q01,pdf_0341_certificate-artificial--intelligence-program-application::chunk_001,3,42.9308
q01,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,4,42.3594
q01,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,5,40.6248
q01,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,6,40.2413
q01,pdf_0483_minor--artificial-intelligence-application::chunk_001,7,38.8894
q01,course_0021_CAP_6629::chunk_001,8,38.5411
q01,course_0018_CAP_6619::chunk_001,9,38.5411
q01,pdf_0282_artificial-intelligence-minor-program-application-jan6::chunk_001,10,37.3867
q01,pdf_0279_artificial-inteligence-minor-worksheet-jan6::chunk_001,11,36.5498
q01,pdf_0518_professional-certificate-energy-resilience-worksheet::chunk_001,12,35.5449
q01,pdf_0278_artificial-inteligence-certificate-worksheet-jan6::chunk_001,13,35.2762
q01,pdf_0346_certificate-cyber-security-application::chunk_001,14,34.8932
q01,pdf_0343_certificate-artificial-intelligence-program-worksheet::chunk_001,15,34.7735
q01,pdf_0342_certificate-artificial-intelligence--program-worksheet::chunk_001,16,34.7314
q01,pdf_0344_certificate-big-data-analytics-application::chunk_001,17,34.6395
q01,pdf_0517_professional-certificate-energy-resilience-application::chunk_001,18,34.3579
q01,pdf_0409_data-science-certificate-program-application::chunk_001,19,32.2912
q01,pdf_0345_certificate-biomedical-engineering-program-application::chunk_001,20,31.2579
q01,pdf_0405_cybersecurity-certificate-program-application::chunk_001,21,30.4021
q01,pdf_0348_certificate-energy-resilience-program-worksheet::chunk_001,22,29.9712
q01,pdf_0519_professional-ms-ai-worksheet::chunk_001,23,29.9277
q01,pdf_0510_newcertificate-artificial-intelligence-worksheet::chunk_001,24,29.8225
q01,pdf_0280_artificial-intelligence-cert-program-worksheet::chunk_001,25,29.7508
q01,pdf_0347_certificate-energy-resilience-program-application::chunk_001,26,29.5913
q01,pdf_0406_cybersecurity-certificate-worksheet-2023::chunk_001,27,28.2892
q01,pdf_0407_cybersecurity-minor-program-application::chunk_001,28,28.0944
q01,pdf_0530_syllabus-mobile-app-projects-fall-2024::chunk_003,29,28.0618
q01,course_0035_CAP_6776::chunk_001,30,27.9362
q01,pdf_0529_syllabus-intro-intelligent-auton-robots-fall-2024::chunk_003,31,26.4101
q01,pdf_0410_data-science-certificate-worksheet::chunk_001,32,25.7407
q01,pdf_0486_ms--arin-worksheet::chunk_001,33,25.0607
q01,course_0109_COT_6930::chunk_001,34,24.8156
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_001,35,22.7693
q01,pdf_0366_computer-science-minor-program-application::chunk_001,36,22.5076
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_005,37,22.3094
q01,pdf_0511_nursing-joint-bsms-ai-audit-form::chunk_001,38,21.5593
q01,pdf_0498_ms-in-data-science-analytics-program-worksheet-6-2025::chunk_001,39,21.5524
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_004,40,21.5442
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_003,41,20.2152
q01,pdf_0493_ms-egit-csda-worksheet::chunk_001,42,20.0351
q01,pdf_0528_syllabus-generative-ai-driven-software-development-fall-2024::chunk_004,43,20.0322
q01,pdf_0492_ms-egit-ait-worksheet::chunk_001,44,19.7732
q01,pdf_0488_ms--dsa--worksheet::chunk_001,45,19.5596
q01,course_0023_CAP_6635::chunk_001,46,19.4725
q01,course_0028_CAP_6673::chunk_001,47,19.4725
q01,course_0003_CAP_5625::chunk_001,48,19.4725
q01,pdf_0491_ms-cse-worksheet-new::chunk_001,49,19.4031
q01,pdf_0494_ms-egit-csec-worksheet::chunk_001,50,18.8031
q01,pdf_0503_ms-in-information-technology-management-cybersecurity-progra::chunk_001,51,18.6589
q01,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_001,52,18.5162
q01,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_001,53,18.3731
q01,pdf_0525_syllabus-ai-data-sci-cybersecurity-ethics-fall-2024::chunk_003,54,18.3612
q01,pdf_0497_ms-in-computer-science-program-worksheet-6-2025::chunk_001,55,18.2349
q01,pdf_0487_ms--coen-worksheet::chunk_001,56,17.9184
q01,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_001,57,17.5741
q01,pdf_0404_cyber-security-cert-program-worksheet::chunk_001,58,16.7677
q01,pdf_0528_syllabus-generative-ai-driven-software-development-fall-2024::chunk_001,59,16.6583
q01,pdf_0499_ms-in-eel-worksheet::chunk_001,60,16.4062
q01,course_0025_CAP_6635::chunk_001,61,16.3889
q01,course_0020_CAP_6619::chunk_001,62,16.0801
q01,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,63,15.7464
q01,pdf_0500_ms-in-electrical-engineering-program-sheet-6-2025::chunk_001,64,15.7283
q01,course_0008_CAP_5768::chunk_001,65,15.7104
q01,pdf_0528_syllabus-generative-ai-driven-software-development-fall-2024::chunk_005,66,15.4855
q01,course_0030_CAP_6673::chunk_001,67,15.3578
q01,pdf_0301_cap5625computational-foundations-of-artificial-intelligence::chunk_001,68,15.3348
q01,pdf_0528_syllabus-generative-ai-driven-software-development-fall-2024::chunk_002,69,14.9347
q01,pdf_0311_cap6635artificial-intelligence::chunk_001,70,14.863
q01,course_0004_CAP_5625::chunk_001,71,14.8363
q01,pdf_0525_syllabus-ai-data-sci-cybersecurity-ethics-fall-2024::chunk_001,72,14.8291
q01,pdf_0298_cap4630artificial-intelligence::chunk_001,73,14.5194
q01,pdf_0531_syllabus-software-engineering-management-fall-2024::chunk_003,74,13.9427
q01,pdf_0520_professional-ms-cs-worksheet::chunk_001,75,13.1542
q02,pdf_0483_minor--artificial-intelligence-application::chunk_001,1,54.5321
