query_id,doc_id,rank,score
q01,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,1,0.7207
q01,pdf_0513_professional-ai-certificate-program-application::chunk_001,2,0.7199
q01,pdf_0514_professional-certificate-ai-worksheet::chunk_001,3,0.71
q01,pdf_0341_certificate-artificial--intelligence-program-application::chunk_001,4,0.7076
q01,pdf_0343_certificate-artificial-intelligence-program-worksheet::chunk_001,5,0.6876
q01,pdf_0342_certificate-artificial-intelligence--program-worksheet::chunk_001,6,0.6865
q01,pdf_0278_artificial-inteligence-certificate-worksheet-jan6::chunk_001,7,0.6691
q01,course_0025_CAP_6635::chunk_001,8,0.6553
q01,pdf_0510_newcertificate-artificial-intelligence-worksheet::chunk_001,9,0.6542
q01,pdf_0280_artificial-intelligence-cert-program-worksheet::chunk_001,10,0.652
q01,pdf_0282_artificial-intelligence-minor-program-application-jan6::chunk_001,11,0.6464
q01,pdf_0519_professional-ms-ai-worksheet::chunk_001,12,0.6451
q01,course_0024_CAP_6635::chunk_001,13,0.642
q01,course_0146_CAP_4630::chunk_001,14,0.6352
q01,course_0018_CAP_6619::chunk_001,15,0.6329
q01,course_0020_CAP_6619::chunk_001,16,0.6316
q01,course_0021_CAP_6629::chunk_001,17,0.63
q01,pdf_0483_minor--artificial-intelligence-application::chunk_001,18,0.6284
q01,pdf_0279_artificial-inteligence-minor-worksheet-jan6::chunk_001,19,0.6281
q01,course_0005_CAP_5625::chunk_001,20,0.6268
q01,pdf_0311_cap6635artificial-intelligence::chunk_001,21,0.6255
q01,course_0023_CAP_6635::chunk_001,22,0.6074
q01,course_0008_CAP_5768::chunk_001,23,0.6066
q01,pdf_0405_cybersecurity-certificate-program-application::chunk_001,24,0.6051
q01,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,25,0.6028
q01,pdf_0298_cap4630artificial-intelligence::chunk_001,26,0.6009
q01,course_0028_CAP_6673::chunk_001,27,0.6
q01,course_0003_CAP_5625::chunk_001,28,0.5989
q01,pdf_0486_ms--arin-worksheet::chunk_001,29,0.5963
q01,pdf_0346_certificate-cyber-security-application::chunk_001,30,0.596
q01,pdf_0344_certificate-big-data-analytics-application::chunk_001,31,0.5944
q01,course_0004_CAP_5625::chunk_001,32,0.5929
q01,pdf_0406_cybersecurity-certificate-worksheet-2023::chunk_001,33,0.5928
q01,course_0030_CAP_6673::chunk_001,34,0.5921
q01,pdf_0517_professional-certificate-energy-resilience-application::chunk_001,35,0.5909
q01,pdf_0518_professional-certificate-energy-resilience-worksheet::chunk_001,36,0.5846
q01,pdf_0348_certificate-energy-resilience-program-worksheet::chunk_001,37,0.5838
q01,pdf_0345_certificate-biomedical-engineering-program-application::chunk_001,38,0.5828
q01,pdf_0347_certificate-energy-resilience-program-application::chunk_001,39,0.5822
q01,pdf_0409_data-science-certificate-program-application::chunk_001,40,0.5818
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_005,41,0.5812
q01,pdf_0511_nursing-joint-bsms-ai-audit-form::chunk_001,42,0.5807
q01,course_0085_COT_5930::chunk_001,43,0.5779
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_001,44,0.5779
q01,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,45,0.5776
q01,pdf_0404_cyber-security-cert-program-worksheet::chunk_001,46,0.5763
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_004,47,0.5762
q01,course_0035_CAP_6776::chunk_001,48,0.5757
q01,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_003,49,0.5748
q01,pdf_0276_4-plus-1-itm-ait::chunk_001,50,0.5743
q01,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_002,51,0.5738
q01,pdf_0410_data-science-certificate-worksheet::chunk_001,52,0.5725
q01,pdf_0492_ms-egit-ait-worksheet::chunk_002,53,0.5699
q01,course_0026_CAP_6635::chunk_001,54,0.5698
q01,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,55,0.5697
q01,course_0059_CIS_5371::chunk_001,56,0.5695
q01,pdf_0314_cap6776information-retrieval::chunk_001,57,0.5684
q01,pdf_0486_ms--arin-worksheet::chunk_002,58,0.568
q01,course_0038_CAP_6778::chunk_001,59,0.5676
q01,course_0235_EEE_4361C::chunk_001,60,0.5671
q01,course_0238_EEE_4541::chunk_001,61,0.567
q01,pdf_0284_bs-phd-computer-engineering-worksheet-12.09.2025::chunk_002,62,0.5665
q01,pdf_0316_cap6778adv-data-mining-machine-learning::chunk_001,63,0.5663
q01,course_0096_COT_6446::chunk_001,64,0.5662
q01,course_0225_COT_4930::chunk_001,65,0.5652
q01,course_0103_COT_6930::chunk_001,66,0.5652
q01,pdf_0285_bs-phd-computer-science-worksheet12.09.2025::chunk_002,67,0.5648
q01,pdf_0301_cap5625computational-foundations-of-artificial-intelligence::chunk_001,68,0.5637
q01,pdf_0408_cybersecurity-minor-worksheet::chunk_001,69,0.5629
q01,course_0136_EEL_6819::chunk_001,70,0.5621
