query_id,ndcg,ap,first_relevant_rank,relevant_retrieved,total_relevant
q01,0.7863762972799305,0.5290849673202614,1,11,12
q02,0.8512162636441768,0.673036223036223,1,9,9
q03,0.6346908535626657,0.41203703703703703,2,4,4
q04,0.0,0.00847457627118644,59,1,2
q05,0.2092658249318578,0.06387344910864075,7,5,6
q06,0.24193966754849905,0.0927920214615213,7,5,7
q07,0.41333599721774167,0.23966405485470735,7,12,12
q08,0.5271587927902985,0.3488422845331029,5,19,19
q09,0.5927475100588381,0.4800133391307492,2,20,22
q10,0.6581060699860215,0.49473330519383146,3,18,19
q11,0.7977026707519378,0.7072721192308594,1,21,22
q12,0.4089828093969701,0.1704549160884777,4,7,8
q13,0.7901629494431066,0.6780855889922691,1,24,27
q14,0.10533403685967516,0.058227792437084064,9,9,12
