method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf,750,75,100,2.2,1.0,180,0.5,2.0,0,,30,0.4946979169223408,0.35124296309830155,0.42297044001032114,577,181
rrf,700,100,100,2.2,1.0,180,0.25,2.5,0,,30,0.49322399680957724,0.3521607026697797,0.4226923497396785,582,182
rrf,700,100,100,2.2,1.0,150,0.5,2.0,0,,30,0.4939743392787589,0.3511990725417498,0.4225867059102544,582,182
rrf,700,100,100,2.2,1.0,180,0.25,3.0,0,,30,0.4930830525827174,0.35203075194551914,0.42255690226411824,582,182
rrf,700,100,100,2.2,1.0,150,0.25,2.5,0,,30,0.4929542027961792,0.35197747586388,0.42246583933002957,582,182
rrf,700,100,100,2.2,1.0,150,0.25,3.0,0,,30,0.49301616033750645,0.35185578415356566,0.4224359722455361,582,182
rrf,700,100,100,2.2,1.0,120,0.25,2.5,0,,30,0.49285567151305637,0.35163707409464046,0.4222463728038484,582,182
rrf,700,100,100,2.2,1.0,180,0.25,2.0,0,,30,0.49165937777320395,0.3528326721607499,0.42224602496697694,582,182
rrf,750,175,100,2.2,1.0,180,0.25,3.0,0,,30,0.49423825711802616,0.35006525482923,0.4221517559736281,581,181
rrf,700,100,100,2.2,1.0,150,0.25,2.0,0,,30,0.4915825144601801,0.3526678305544917,0.4221251725073359,582,182
rrf,700,150,150,2.2,1.0,180,0.25,2.5,0,,30,0.4918215347046729,0.35232832561449967,0.4220749301595863,586,182
rrf,700,100,100,2.2,1.0,180,0.5,2.5,0,,30,0.4913369597587042,0.3525417151953477,0.42193933747702594,582,182
rrf,700,150,150,2.2,1.0,180,0.25,2.0,0,,30,0.49110605199199453,0.35267504128011234,0.4218905466360534,586,182
rrf,700,150,150,2.2,1.0,150,0.25,2.0,0,,30,0.49158144087907646,0.35219381152505486,0.42188762620206566,586,182
rrf,750,175,100,2.2,1.0,150,0.25,3.0,0,,30,0.4940251553126119,0.3497480221667657,0.42188658873968876,581,181
rrf,700,100,100,2.2,1.0,180,0.5,2.0,0,,30,0.4925069614019614,0.3512394770728823,0.4218732192374218,582,182
rrf,700,100,150,2.2,1.0,180,0.25,3.0,0,,30,0.49200400954479573,0.35162999211097923,0.4218170008278875,582,182
rrf,700,100,100,2.2,1.0,120,0.5,2.5,0,,30,0.491487639276645,0.35211590916927105,0.42180177422295806,582,182
